EBC	R	G	B	A
0.00	255	255	255	0
0.39	248	248	220	36
0.79	244	249	185	42
0.99	247	249	180	45
1.38	244	246	169	51
1.77	246	247	156	57
2.17	246	248	141	63
2.56	245	250	128	69
2.95	248	249	114	75
3.35	246	248	107	81
3.74	245	247	92	87
4.14	244	248	72	116
4.53	246	247	62	118
4.93	244	248	48	121
5.32	243	249	34	123
5.71	248	245	22	136
6.11	244	242	22	138
6.50	243	242	19	131
6.89	244	237	29	133
7.29	240	233	23	136
7.68	234	230	21	138
8.08	230	225	24	160
8.47	230	221	27	161
8.86	229	216	31	162
9.26	223	213	26	163
9.65	223	209	29	164
10.05	224	204	32	165
10.44	220	203	29	166
10.84	220	197	34	167
11.23	217	194	43	168
11.62	213	190	37	169
12.02	212	184	39	170
12.41	213	180	35	171
12.81	208	178	42	172
13.20	204	172	48	173
13.59	205	170	55	174
13.99	202	167	52	175
14.38	199	162	54	176
14.77	200	158	60	177
15.17	196	155	54	178
15.56	193	150	60	179
15.96	190	147	57	180
16.35	190	145	60	200
16.75	190	145	58	201
17.14	190	145	58	201
17.53	191	141	61	202
17.93	192	140	61	202
18.32	192	137	59	203
18.72	195	135	63	203
19.11	191	134	61	204
19.50	190	130	58	204
19.90	191	131	57	205
20.29	191	129	58	205
20.68	191	127	58	206
21.08	188	128	54	206
21.47	193	122	55	207
21.87	194	121	57	207
22.26	190	119	52	208
22.66	196	116	59	208
23.05	190	116	57	209
23.44	189	115	56	209
23.84	191	113	53	225
24.23	190	112	55	225
24.63	188	109	55	225
25.02	186	106	50	225
25.41	189	104	54	226
25.81	188	103	51	226
26.20	186	102	56	226
26.59	185	98	59	226
26.99	181	100	53	227
27.38	177	97	51	227
27.78	176	96	49	227
28.17	178	95	55	227
28.57	171	92	56	228
28.96	168	92	55	228
29.35	168	88	57	228
29.75	166	88	54	228
30.14	161	88	52	229
30.53	160	86	56	229
30.93	158	86	54	229
31.32	156	83	53	229
31.72	150	83	55	240
32.11	146	81	56	240
32.51	147	79	55	240
32.90	142	77	51	240
33.29	142	77	54	240
33.69	140	75	50	240
34.08	135	70	45	240
34.47	140	72	48	240
34.87	129	71	46	241
35.26	123	69	45	241
35.66	121	66	40	241
36.05	119	64	38	241
36.44	120	63	35	241
36.84	112	63	35	241
37.23	109	60	34	241
37.63	106	57	31	241
38.02	105	56	28	242
38.42	104	52	31	242
38.81	100	53	26	242
39.20	93	53	24	242
39.60	89	52	20	242
39.99	91	50	20	242
40.38	88	48	17	242
40.79	81	46	15	243
41.17	81	44	15	243
41.57	77	42	12	243
41.96	74	41	5	243
42.35	83	40	46	243
42.75	78	43	41	243
43.14	74	41	39	243
43.54	69	39	35	243
43.93	68	37	36	243
44.33	64	35	34	244
44.72	62	35	32	244

